seed,vibe,alpha,title,year,genres,score
Mean Girls,Teen comedy,0.5,School for Scoundrels,1960,Comedy,0.5761
Mean Girls,Teen comedy,0.5,"Yours, Mine and Ours",1968,"Comedy,Family",0.5506
Mean Girls,Teen comedy,0.5,The Late Show,1977,"Comedy,Mystery,Thriller",0.5496
Mean Girls,Teen comedy,0.5,Highway 61,1991,"Comedy,Music",0.5482
Mean Girls,Teen comedy,0.5,The Boss of It All,2006,Comedy,0.5425
Mean Girls,Teen comedy,0.0,Tunes of Glory,1960,Drama,0.466
Mean Girls,Teen comedy,0.0,Crude,2009,Documentary,0.4244
Mean Girls,Teen comedy,0.0,The Icicle Thief,1989,"Comedy,Crime,Fantasy",0.4228
Mean Girls,Teen comedy,0.0,Street Thief,2006,"Crime,Thriller",0.4182
Mean Girls,Teen comedy,0.0,A Hungarian Fairy Tale,1987,Fantasy,0.4126
Eternal Sunshine,Surreal romance,1.0,The Usual Suspects,1995,"Crime,Drama,Mystery",1.0
Eternal Sunshine,Surreal romance,1.0,Shadow of a Doubt,1943,"Drama,Film-Noir,Mystery",1.0
Eternal Sunshine,Surreal romance,1.0,Strangers on a Train,1951,"Crime,Drama,Film-Noir",1.0
Eternal Sunshine,Surreal romance,1.0,Rashomon,1950,"Crime,Drama,Mystery",1.0
Eternal Sunshine,Surreal romance,1.0,Saving Private Ryan,1998,"Drama,War",1.0
Eternal Sunshine,Surreal romance,0.5,The Narrow Margin,1952,"Crime,Drama,Film-Noir",0.5964
Eternal Sunshine,Surreal romance,0.5,The Fallen Idol,1948,"Drama,Film-Noir,Mystery",0.595
Eternal Sunshine,Surreal romance,0.5,The Earrings of Madame De...,1953,"Drama,Romance",0.593
Eternal Sunshine,Surreal romance,0.5,Mouchette,1967,Drama,0.5905
Eternal Sunshine,Surreal romance,0.5,Mishima: A Life in Four Chapters,1985,"Biography,Drama",0.5877
Eternal Sunshine,Surreal romance,0.0,Tunes of Glory,1960,Drama,0.466
Eternal Sunshine,Surreal romance,0.0,Crude,2009,Documentary,0.4244
Eternal Sunshine,Surreal romance,0.0,The Icicle Thief,1989,"Comedy,Crime,Fantasy",0.4228
Eternal Sunshine,Surreal romance,0.0,Street Thief,2006,"Crime,Thriller",0.4182
Eternal Sunshine,Surreal romance,0.0,A Hungarian Fairy Tale,1987,Fantasy,0.4126
Before Sunrise,Slow-burn dialogue romance,1.0,That Obscure Object of Desire,1977,"Comedy,Drama,Romance",0.9929
Before Sunrise,Slow-burn dialogue romance,1.0,Diary of a Chambermaid,1964,"Crime,Drama",0.9925
Before Sunrise,Slow-burn dialogue romance,1.0,Brute Force,1947,"Crime,Drama,Film-Noir",0.9904
Before Sunrise,Slow-burn dialogue romance,1.0,This Sporting Life,1963,"Drama,Sport",0.9898
Before Sunrise,Slow-burn dialogue romance,1.0,The Name of the Rose,1986,"Drama,Mystery,Thriller",0.9886
Before Sunrise,Slow-burn dialogue romance,0.5,Late Autumn,1960,"Comedy,Drama",0.6099
Before Sunrise,Slow-burn dialogue romance,0.5,This Sporting Life,1963,"Drama,Sport",0.6045
Before Sunrise,Slow-burn dialogue romance,0.5,The Cuckoo,2002,"Comedy,Drama,War",0.6022
Before Sunrise,Slow-burn dialogue romance,0.5,Brute Force,1947,"Crime,Drama,Film-Noir",0.6021
Before Sunrise,Slow-burn dialogue romance,0.5,Diary of a Chambermaid,1964,"Crime,Drama",0.6
Before Sunrise,Slow-burn dialogue romance,0.0,Tunes of Glory,1960,Drama,0.466
Before Sunrise,Slow-burn dialogue romance,0.0,Crude,2009,Documentary,0.4244
Before Sunrise,Slow-burn dialogue romance,0.0,The Icicle Thief,1989,"Comedy,Crime,Fantasy",0.4228
Before Sunrise,Slow-burn dialogue romance,0.0,Street Thief,2006,"Crime,Thriller",0.4182
Before Sunrise,Slow-burn dialogue romance,0.0,A Hungarian Fairy Tale,1987,Fantasy,0.4126
Get Out,Social horror,1.0,The White Sheik,1952,"Comedy,Drama,Romance",0.9109
Get Out,Social horror,1.0,Pauline at the Beach,1983,"Comedy,Drama,Romance",0.9059
Get Out,Social horror,1.0,The History Boys,2006,"Comedy,Drama,Romance",0.8945
Get Out,Social horror,1.0,Rushmore,1998,"Comedy,Drama,Romance",0.886
Get Out,Social horror,1.0,42nd Street,1933,"Comedy,Drama,Musical",0.8794
Get Out,Social horror,0.5,The White Sheik,1952,"Comedy,Drama,Romance",0.5845
Get Out,Social horror,0.5,42nd Street,1933,"Comedy,Drama,Musical",0.5778
Get Out,Social horror,0.5,Kandahar,2001,Drama,0.5771
Get Out,Social horror,0.5,Pauline at the Beach,1983,"Comedy,Drama,Romance",0.576
Get Out,Social horror,0.5,His Brother,2003,"Drama,Romance",0.5708
Get Out,Social horror,0.0,Tunes of Glory,1960,Drama,0.466
Get Out,Social horror,0.0,Crude,2009,Documentary,0.4244
Get Out,Social horror,0.0,The Icicle Thief,1989,"Comedy,Crime,Fantasy",0.4228
Get Out,Social horror,0.0,Street Thief,2006,"Crime,Thriller",0.4182
Get Out,Social horror,0.0,A Hungarian Fairy Tale,1987,Fantasy,0.4126
Spirited Away,Studio Ghibli fantasy,1.0,The Usual Suspects,1995,"Crime,Drama,Mystery",1.0
Spirited Away,Studio Ghibli fantasy,1.0,Shadow of a Doubt,1943,"Drama,Film-Noir,Mystery",1.0
Spirited Away,Studio Ghibli fantasy,1.0,Strangers on a Train,1951,"Crime,Drama,Film-Noir",1.0
Spirited Away,Studio Ghibli fantasy,1.0,Rashomon,1950,"Crime,Drama,Mystery",1.0
Spirited Away,Studio Ghibli fantasy,1.0,Saving Private Ryan,1998,"Drama,War",1.0
Spirited Away,Studio Ghibli fantasy,0.5,The Narrow Margin,1952,"Crime,Drama,Film-Noir",0.5964
Spirited Away,Studio Ghibli fantasy,0.5,The Fallen Idol,1948,"Drama,Film-Noir,Mystery",0.595
Spirited Away,Studio Ghibli fantasy,0.5,The Earrings of Madame De...,1953,"Drama,Romance",0.593
Spirited Away,Studio Ghibli fantasy,0.5,Mouchette,1967,Drama,0.5905
Spirited Away,Studio Ghibli fantasy,0.5,Mishima: A Life in Four Chapters,1985,"Biography,Drama",0.5877
Spirited Away,Studio Ghibli fantasy,0.0,Tunes of Glory,1960,Drama,0.466
Spirited Away,Studio Ghibli fantasy,0.0,Crude,2009,Documentary,0.4244
Spirited Away,Studio Ghibli fantasy,0.0,The Icicle Thief,1989,"Comedy,Crime,Fantasy",0.4228
Spirited Away,Studio Ghibli fantasy,0.0,Street Thief,2006,"Crime,Thriller",0.4182
Spirited Away,Studio Ghibli fantasy,0.0,A Hungarian Fairy Tale,1987,Fantasy,0.4126
Good Will Hunting,Drama / character study,1.0,The Usual Suspects,1995,"Crime,Drama,Mystery",1.0
Good Will Hunting,Drama / character study,1.0,Shadow of a Doubt,1943,"Drama,Film-Noir,Mystery",1.0
Good Will Hunting,Drama / character study,1.0,Strangers on a Train,1951,"Crime,Drama,Film-Noir",1.0
Good Will Hunting,Drama / character study,1.0,Rashomon,1950,"Crime,Drama,Mystery",1.0
Good Will Hunting,Drama / character study,1.0,Saving Private Ryan,1998,"Drama,War",1.0
Good Will Hunting,Drama / character study,0.5,The Narrow Margin,1952,"Crime,Drama,Film-Noir",0.5964
Good Will Hunting,Drama / character study,0.5,The Fallen Idol,1948,"Drama,Film-Noir,Mystery",0.595
Good Will Hunting,Drama / character study,0.5,The Earrings of Madame De...,1953,"Drama,Romance",0.593
Good Will Hunting,Drama / character study,0.5,Mouchette,1967,Drama,0.5905
Good Will Hunting,Drama / character study,0.5,Mishima: A Life in Four Chapters,1985,"Biography,Drama",0.5877
Good Will Hunting,Drama / character study,0.0,Tunes of Glory,1960,Drama,0.466
Good Will Hunting,Drama / character study,0.0,Crude,2009,Documentary,0.4244
Good Will Hunting,Drama / character study,0.0,The Icicle Thief,1989,"Comedy,Crime,Fantasy",0.4228
Good Will Hunting,Drama / character study,0.0,Street Thief,2006,"Crime,Thriller",0.4182
Good Will Hunting,Drama / character study,0.0,A Hungarian Fairy Tale,1987,Fantasy,0.4126
Superbad,Raunchy teen comedy,1.0,"The Adventures of Priscilla, Queen of the Desert",1994,"Comedy,Music",0.9389
Superbad,Raunchy teen comedy,1.0,Waking Ned Devine,1998,Comedy,0.9124
Superbad,Raunchy teen comedy,1.0,Dirty Rotten Scoundrels,1988,"Comedy,Crime",0.8913
Superbad,Raunchy teen comedy,1.0,Female Trouble,1974,"Comedy,Crime",0.891
Superbad,Raunchy teen comedy,1.0,Leningrad Cowboys Go America,1989,"Comedy,Music",0.8884
Superbad,Raunchy teen comedy,0.5,Leningrad Cowboys Go America,1989,"Comedy,Music",0.6004
Superbad,Raunchy teen comedy,0.5,Female Trouble,1974,"Comedy,Crime",0.5931
Superbad,Raunchy teen comedy,0.5,"The Adventures of Priscilla, Queen of the Desert",1994,"Comedy,Music",0.5828
Superbad,Raunchy teen comedy,0.5,Waking Ned Devine,1998,Comedy,0.5736
Superbad,Raunchy teen comedy,0.5,Boudu Saved from Drowning,1932,Comedy,0.5703
Superbad,Raunchy teen comedy,0.0,Tunes of Glory,1960,Drama,0.466
Superbad,Raunchy teen comedy,0.0,Crude,2009,Documentary,0.4244
Superbad,Raunchy teen comedy,0.0,The Icicle Thief,1989,"Comedy,Crime,Fantasy",0.4228
Superbad,Raunchy teen comedy,0.0,Street Thief,2006,"Crime,Thriller",0.4182
Superbad,Raunchy teen comedy,0.0,A Hungarian Fairy Tale,1987,Fantasy,0.4126
Moonlight,Dark indie coming-of-age,1.0,An Unfinished Life,2005,"Drama,Family,Romance",0.9486
Moonlight,Dark indie coming-of-age,1.0,Pope Joan,2009,"Drama,History,Romance",0.9465
Moonlight,Dark indie coming-of-age,1.0,Howl,2010,"Biography,Drama,Romance",0.9447
Moonlight,Dark indie coming-of-age,1.0,The Mother,2003,"Drama,Romance",0.9363
Moonlight,Dark indie coming-of-age,1.0,Washington Square,1997,"Drama,Romance",0.9306
Moonlight,Dark indie coming-of-age,0.5,The Wooden Man's Bride,1994,"Drama,Romance",0.6333
Moonlight,Dark indie coming-of-age,0.5,Like You Know It All,2009,Drama,0.6151
Moonlight,Dark indie coming-of-age,0.5,Broken English,1996,"Drama,Romance",0.6082
Moonlight,Dark indie coming-of-age,0.5,"Red Firecracker, Green Firecracker",1994,"Drama,Romance",0.6072
Moonlight,Dark indie coming-of-age,0.5,On the Occasion of Remembering the Turning Gate,2002,"Drama,Romance",0.6048
Moonlight,Dark indie coming-of-age,0.0,Tunes of Glory,1960,Drama,0.466
Moonlight,Dark indie coming-of-age,0.0,Crude,2009,Documentary,0.4244
Moonlight,Dark indie coming-of-age,0.0,The Icicle Thief,1989,"Comedy,Crime,Fantasy",0.4228
Moonlight,Dark indie coming-of-age,0.0,Street Thief,2006,"Crime,Thriller",0.4182
Moonlight,Dark indie coming-of-age,0.0,A Hungarian Fairy Tale,1987,Fantasy,0.4126
